SLN,name,tot_pop,bp_pop,bp_u18,rohh,thh,med_rent,mhi,per_as,per_bl,per_wh,per_his,tot_mf,tot_units,MAR,IncomeNeed,moymPerGr1t3_24,moymPerGrkt5_24,moymPerGr1t3_23,moymPerGrkt5_23,moymGr1t3_24,moymGrkt5_24,moymGr1t3_23,moymGrkt5_23,moymPerGr1t3_22,moymPerGrkt5_22,moymGr1t3_22,moymGrkt5_22
182,Marcus Elementary,6342.8686,0.14141793824958,401.4967,1146.3529,1897.1689,1465.25,74171.25,0.0127964656244022,0.0195691583457996,0.212784701231238,0.746090688367721,5,1325,1403.6,67372.8,0.114695340501792,0.124149659863946,0.0851063829787234,0.0854092526690392,32,73,24,48,0.0716723549488055,0.0755711775043937,21,43
183,Marsalis Elementary,5693.6472,0.122893669983627,301.6871,637.4537,1905.3243,1320.6,52830.4,8.43044858838461e-07,0.571416507858091,0.0675813211608896,0.342015940151684,3,420,1418,68064,0.0974358974358974,0.0887573964497041,0.139175257731959,0.131506849315068,19,30,27,48,0.0710659898477157,0.078740157480315,14,30
184,Milam Elementary,44367.0832,0.0956251773612199,174.9229,23131.386,29952.2757,1936.59375,116411.3125,0.0657879195448215,0.0822512172718174,0.675264239592834,0.134205216357338,258,36070,2400.3918128655,115218.807017544,0.185714285714286,0.159533073929961,0.150943396226415,0.140684410646388,26,41,24,37,0.202898550724638,0.183823529411765,28,50
185,Miller Elementary,8016.2707,0.205214614321844,524.1203,960.8624,2898.925,1153.5,41227.375,0.00158694740685341,0.467193891044623,0.0371912465480987,0.483064001319217,4,188,1165.5,55944,0.185185185185185,0.142857142857143,0.144329896907216,0.1,20,31,14,19,0.058252427184466,0.0704225352112676,6,15
187,Moseley Elementary,6733.2366,0.218347369525081,575.8132,612.6389,1888.949,1343.28571428571,54838.7142857143,0.028237564086193,0.156958824230237,0.0530218854926322,0.760095523748564,2,73,917,44016,0.0597609561752988,0.0538922155688623,0.0683453237410072,0.0639853747714808,15,27,19,35,0.0503597122302158,0.050185873605948,14,27
188,Mount Auburn Elementary,7749.6952,0.0864285862494308,106.8161,2064.1827,3431.4066,1422.2,89301.7272727273,0.0290308449808452,0.103302243422425,0.277849559812365,0.574246223257916,21,2421,1675.7,80433.6,0.0723404255319149,0.0891304347826087,0.076555023923445,0.0763723150357995,17,41,16,32,0.102222222222222,0.0944700460829493,23,41
189,Oliver Elementary,10162.3752,0.276037741649216,1097.3843,1966.5905,3216.8552,1383.57142857143,52695.2857142857,0.00403889830794675,0.637235486050545,0.0536457067635133,0.291279099791553,5,940,1364.25,65484,0.092436974789916,0.088785046728972,0.158415841584158,0.120418848167539,11,19,16,23,0.1,0.147540983606557,8,27
190,Peabody Elementary,2921.0042,0.2085636165809,308.3198,399.2419,1036.4293,1224.66666666667,56611,0.00301677073932314,0.027777159649411,0.157527811839504,0.793808204726306,3,165,1156,55488,0.0900900900900901,0.0657894736842105,0.0196078431372549,0.018348623853211,10,15,2,4,0.100719424460432,0.0909090909090909,14,25
192,Peeler Elementary,2046.7396,0.18266759484206,82.5609,187.9993,717.0921,1243,60904.25,0.00199546635048249,0.0223349858477356,0.106142325091086,0.865222620405644,3,390,1210,58080,0.0642857142857143,0.0547945205479452,0.072992700729927,0.0760456273764259,9,16,10,20,0.0150375939849624,0.0276679841897233,2,7
193,Pershing Elementary,13850.7229,0.100409791607339,543.903,1925.6562,5994.714,1863.73333333333,171756.777777778,0.0552003823569382,0.104089289086853,0.58205071736725,0.218367172734356,7,1653,1232.14285714286,59142.8571428572,0.121621621621622,0.104018912529551,0.125,0.125307125307125,27,44,25,51,0.0903954802259887,0.0952380952380952,16,32
