SLN,name,SchoolYear,TotEvictions,EvicFilAmt,Year,rohh,moymPerGr1t3_24,moymPerGrkt5_24,moymPerGr1t3_23,moymPerGrkt5_23,moymGr1t3_24,moymGrkt5_24,moymGr1t3_23,moymGrkt5_23,evicRate,schoolType
108,Bayles Elementary,2017-2018,75,696.6668,2017,1428.8706,0.119760479041916,0.071875,0.111111111111111,0.117647058823529,20,23,19,40,52.4890077519966,Elementary School
108,Bayles Elementary,2018-2019,129,722.548604651163,2018,1428.8706,0.119760479041916,0.071875,0.111111111111111,0.117647058823529,20,23,19,40,90.2810933334341,Elementary School
108,Bayles Elementary,2019-2020,118,1302.91737288136,2019,1428.8706,0.119760479041916,0.071875,0.111111111111111,0.117647058823529,20,23,19,40,82.582705529808,Elementary School
108,Bayles Elementary,2020-2021,83,1743.69894736842,2020,1428.8706,0.119760479041916,0.071875,0.111111111111111,0.117647058823529,20,23,19,40,58.0878352455429,Elementary School
108,Bayles Elementary,2021-2022,121,2183.01275862069,2021,1428.8706,0.119760479041916,0.071875,0.111111111111111,0.117647058823529,20,23,19,40,84.6822658398878,Elementary School
108,Bayles Elementary,2022-2023,122,2702.5027826087,2022,1428.8706,0.119760479041916,0.071875,0.111111111111111,0.117647058823529,20,23,19,40,85.3821192765811,Elementary School
108,Bayles Elementary,2023-2024,78,3098.14223880597,2023,1428.8706,0.119760479041916,0.071875,0.111111111111111,0.117647058823529,20,23,19,40,54.5885680620765,Elementary School
108,Bayles Elementary,2024-2025,24,2751.49047619048,2024,1428.8706,0.119760479041916,0.071875,0.111111111111111,0.117647058823529,20,23,19,40,16.7964824806389,Elementary School
109,Blair Elementary,2017-2018,71,1705.08549295775,2017,670.5582,0.103030303030303,0.104651162790698,0.0591715976331361,0.0682492581602374,17,36,10,23,105.881935378614,Elementary School
109,Blair Elementary,2018-2019,39,2172.31358974359,2018,670.5582,0.103030303030303,0.104651162790698,0.0591715976331361,0.0682492581602374,17,36,10,23,58.1604997150135,Elementary School
109,Blair Elementary,2019-2020,40,1420.65,2019,670.5582,0.103030303030303,0.104651162790698,0.0591715976331361,0.0682492581602374,17,36,10,23,59.6517945795011,Elementary School
109,Blair Elementary,2020-2021,6,2304.62,2020,670.5582,0.103030303030303,0.104651162790698,0.0591715976331361,0.0682492581602374,17,36,10,23,8.94776918692516,Elementary School
109,Blair Elementary,2021-2022,26,3055.98230769231,2021,670.5582,0.103030303030303,0.104651162790698,0.0591715976331361,0.0682492581602374,17,36,10,23,38.7736664766757,Elementary School
109,Blair Elementary,2022-2023,35,4419.35821428571,2022,670.5582,0.103030303030303,0.104651162790698,0.0591715976331361,0.0682492581602374,17,36,10,23,52.1953202570634,Elementary School
109,Blair Elementary,2023-2024,20,3037.23705882353,2023,670.5582,0.103030303030303,0.104651162790698,0.0591715976331361,0.0682492581602374,17,36,10,23,29.8258972897505,Elementary School
109,Blair Elementary,2024-2025,10,4615.51142857143,2024,670.5582,0.103030303030303,0.104651162790698,0.0591715976331361,0.0682492581602374,17,36,10,23,14.9129486448753,Elementary School
110,Blanton Elementary,2017-2018,72,1421.03361111111,2017,1723.0234,0.054945054945055,0.0499040307101727,0.0411985018726592,0.0532319391634981,15,26,11,28,41.7870122947837,Elementary School
110,Blanton Elementary,2018-2019,67,1149.24597014925,2018,1723.0234,0.054945054945055,0.0499040307101727,0.0411985018726592,0.0532319391634981,15,26,11,28,38.8851364409793,Elementary School
110,Blanton Elementary,2019-2020,44,1540.47363636364,2019,1723.0234,0.054945054945055,0.0499040307101727,0.0411985018726592,0.0532319391634981,15,26,11,28,25.5365075134789,Elementary School
110,Blanton Elementary,2020-2021,30,2282.00296296296,2020,1723.0234,0.054945054945055,0.0499040307101727,0.0411985018726592,0.0532319391634981,15,26,11,28,17.4112551228265,Elementary School
110,Blanton Elementary,2021-2022,47,1979.88127659574,2021,1723.0234,0.054945054945055,0.0499040307101727,0.0411985018726592,0.0532319391634981,15,26,11,28,27.2776330257616,Elementary School
110,Blanton Elementary,2022-2023,38,4330.3452,2022,1723.0234,0.054945054945055,0.0499040307101727,0.0411985018726592,0.0532319391634981,15,26,11,28,22.0542564889136,Elementary School
110,Blanton Elementary,2023-2024,67,4716.17204545455,2023,1723.0234,0.054945054945055,0.0499040307101727,0.0411985018726592,0.0532319391634981,15,26,11,28,38.8851364409793,Elementary School
110,Blanton Elementary,2024-2025,27,5362.03041666667,2024,1723.0234,0.054945054945055,0.0499040307101727,0.0411985018726592,0.0532319391634981,15,26,11,28,15.6701296105439,Elementary School
112,Bowie Elementary,2017-2018,109,933.932385321101,2017,1103.1938,0.101351351351351,0.108208955223881,0.0839160839160839,0.0886524822695036,15,29,12,25,98.8040360632919,Elementary School
112,Bowie Elementary,2018-2019,115,1161.57217391304,2018,1103.1938,0.101351351351351,0.108208955223881,0.0839160839160839,0.0886524822695036,15,29,12,25,104.242790342005,Elementary School
112,Bowie Elementary,2019-2020,101,945.210099009901,2019,1103.1938,0.101351351351351,0.108208955223881,0.0839160839160839,0.0886524822695036,15,29,12,25,91.5523636916741,Elementary School
112,Bowie Elementary,2020-2021,55,2600.71790697674,2020,1103.1938,0.101351351351351,0.108208955223881,0.0839160839160839,0.0886524822695036,15,29,12,25,49.8552475548721,Elementary School
112,Bowie Elementary,2021-2022,90,3120.6308045977,2021,1103.1938,0.101351351351351,0.108208955223881,0.0839160839160839,0.0886524822695036,15,29,12,25,81.5813141806997,Elementary School
112,Bowie Elementary,2022-2023,89,3737.92230769231,2022,1103.1938,0.101351351351351,0.108208955223881,0.0839160839160839,0.0886524822695036,15,29,12,25,80.6748551342475,Elementary School
112,Bowie Elementary,2023-2024,138,2546.42869918699,2023,1103.1938,0.101351351351351,0.108208955223881,0.0839160839160839,0.0886524822695036,15,29,12,25,125.091348410406,Elementary School
112,Bowie Elementary,2024-2025,69,2859.95659090909,2024,1103.1938,0.101351351351351,0.108208955223881,0.0839160839160839,0.0886524822695036,15,29,12,25,62.5456742052031,Elementary School
114,Bryan Elementary,2017-2018,61,1280.7868852459,2017,781.5391,0.144385026737968,0.142011834319527,0.0813953488372093,0.0914826498422713,27,48,14,29,78.0511173401305,Elementary School
114,Bryan Elementary,2018-2019,56,1253.66071428571,2018,781.5391,0.144385026737968,0.142011834319527,0.0813953488372093,0.0914826498422713,27,48,14,29,71.6534847712674,Elementary School
114,Bryan Elementary,2019-2020,38,1814.57894736842,2019,781.5391,0.144385026737968,0.142011834319527,0.0813953488372093,0.0914826498422713,27,48,14,29,48.62200752336,Elementary School
114,Bryan Elementary,2020-2021,47,1639.84536585366,2020,781.5391,0.144385026737968,0.142011834319527,0.0813953488372093,0.0914826498422713,27,48,14,29,60.1377461473137,Elementary School
114,Bryan Elementary,2021-2022,56,1993.10982142857,2021,781.5391,0.144385026737968,0.142011834319527,0.0813953488372093,0.0914826498422713,27,48,14,29,71.6534847712674,Elementary School
114,Bryan Elementary,2022-2023,47,2895.50825,2022,781.5391,0.144385026737968,0.142011834319527,0.0813953488372093,0.0914826498422713,27,48,14,29,60.1377461473137,Elementary School
114,Bryan Elementary,2023-2024,45,3330.49375,2023,781.5391,0.144385026737968,0.142011834319527,0.0813953488372093,0.0914826498422713,27,48,14,29,57.5786931197684,Elementary School
114,Bryan Elementary,2024-2025,29,3761.21739130435,2024,781.5391,0.144385026737968,0.142011834319527,0.0813953488372093,0.0914826498422713,27,48,14,29,37.1062688994063,Elementary School
115,Budd Elementary,2017-2018,63,984.750634920635,2017,390.6696,0.0654761904761905,0.0729483282674772,0.0864864864864865,0.0718562874251497,11,24,16,24,161.261587796952,Elementary School
115,Budd Elementary,2018-2019,70,1014.13128571429,2018,390.6696,0.0654761904761905,0.0729483282674772,0.0864864864864865,0.0718562874251497,11,24,16,24,179.179541996613,Elementary School
115,Budd Elementary,2019-2020,73,941.984794520548,2019,390.6696,0.0654761904761905,0.0729483282674772,0.0864864864864865,0.0718562874251497,11,24,16,24,186.858665225039,Elementary School
