SLN,name,tot_pop,bp_pop,bp_u18,rohh,thh,med_rent,mhi,per_as,per_bl,per_wh,per_his,tot_mf,tot_units,MAR,IncomeNeed,moymPerGr1t3_24,moymPerGrkt5_24,moymPerGr1t3_23,moymPerGrkt5_23,moymGr1t3_24,moymGrkt5_24,moymGr1t3_23,moymGrkt5_23
129,Conner Elementary,9128.1641,0.197530596541313,706.6296,3085.6607,4003.7219,1258.71428571429,61460.2857142857,0.0309374039408428,0.360445294799203,0.15214527092036,0.435566753231354,19,3528,1057.35294117647,50752.9411764706,0.183520599250936,0.199203187250996,0.161290322580645,0.156424581005587,49,100,45,84
130,Cowart Elementary,5955.2774,0.163060766909028,413.1958,532.3847,1805.1799,1285.25,62016,0.00149220588783992,0.00487564189705084,0.0867870067647898,0.903327509143403,0,0,,,0.0368852459016393,0.0376940133037694,0.0327868852459016,0.0280172413793103,9,17,8,13
131,Zaragoza Elementary,7176.3885,0.203556775110489,279.7871,3138.4297,3810.0553,1456,73407,0.052979015837841,0.182425045689764,0.398725863294608,0.339592414764056,107,3752,1301.74193548387,62483.6129032258,0.0891089108910891,0.0579710144927536,0.0769230769230769,0.0822510822510823,9,12,8,19
133,Jordan Elementary,2706.3971,0.208190475817462,183.1056,190.237,857.8944,1111,56656.25,6.65090869333255e-07,0.0699082185685168,0.043735784375471,0.880788632237302,1,66,786,37728,0.0355329949238579,0.0376884422110553,0.0662983425414365,0.0489130434782609,7,15,12,18
135,DeGolyer Elementary,6503.6955,0.0222435536842092,29.5015,348.8164,2484.7201,1952.8,141075.166666667,0.0307059578665699,0.00816953991772831,0.667932516213282,0.273841464441255,4,149,2139.5,102696,0.0344827586206897,0.0314285714285714,0.0207253886010363,0.0177514792899408,6,11,4,6
136,Donald Elementary,3745.3101,0.113132474664781,147.8678,250.093,1012.639,1199.25,62251.5,0.00172501070071608,0.0118470030025017,0.0628562104910886,0.920482178498384,6,47,,,0.0699300699300699,0.0588235294117647,0.0689655172413793,0.0586206896551724,10,17,10,17
137,Dorsey Elementary,4507.111,0.196582001197663,337.8924,297.1746,1285.549,1128.66666666667,57840,0.000376915500860751,0.134949239102387,0.0808346854559384,0.780123409430121,2,198,985,47280,0.050561797752809,0.0608695652173913,0.0402298850574713,0.061046511627907,9,21,7,21
139,Dunbar Learning Center,23273.9013,0.180324907539244,596.0703,6291.6646,8136.5791,1242.28571428571,51936.7857142857,0.0101857482741838,0.491720887378688,0.207177565026453,0.262286306077959,96,6180,1115.42857142857,53540.5714285714,0.185053380782918,0.16789667896679,0.145161290322581,0.150326797385621,52,91,36,69
141,Stone Elementary at Vickery Meadow,5763.5803,0.256813616355792,667.3773,2389.8424,2440.5228,1072.14285714286,46849.5714285714,0.0945764735853511,0.333586659667082,0.0900128172066936,0.460238716549156,15,3015,978.5,46968,0.129943502824859,0.143695014662757,0.136363636363636,0.129129129129129,23,49,21,43
142,Ervin Elementary,11115.2774,0.299994168386657,1251.9892,1419.9137,3764.6051,1113.45454545455,43453.3636363636,0.00778497889760268,0.707328563837732,0.0183918126955608,0.240650791135451,6,1209,968,46464,0.175862068965517,0.173913043478261,0.166051660516605,0.175337186897881,51,96,45,91
145,Foster Elementary,7212.7809,0.227228848723244,719.1373,1763.5778,2405.2048,1095.33333333333,51494.1666666667,0.00614782295688477,0.0269815210940346,0.15386943196902,0.807703572418233,16,2247,1038.2,49833.6,0.0619469026548673,0.0774336283185841,0.0562248995983936,0.0759493670886076,14,35,14,36
147,Gill Elementary,5986.4167,0.123694463166923,285.8097,1004.9296,1920.6459,1157.75,61984.25,0.0361994513345521,0.193824195365485,0.151878869374396,0.604725828724886,6,1342,948,45504,0.0974729241877256,0.103448275862069,0.126811594202899,0.117760617760618,27,54,35,61
148,Gooch Elementary,3844.8345,0.0260647890045722,6.3527,237.6883,1421.3569,1653.25,147069.333333333,0.0298038836262003,0.0199471524717124,0.597367663029449,0.273816103137859,6,1264,1333.5,64008,0.0317460317460317,0.033457249070632,0.0434782608695652,0.03886925795053,4,9,6,11
149,Hall Elementary,3028.8876,0.0914243896009875,84.493,198.7975,768.2673,1175.33333333333,57681,6.69222588517316e-05,0.0017942890980834,0.0716311163213848,0.923059277604094,1,322,1279,61392,0.0353535353535354,0.032171581769437,0.0648648648648649,0.0494791666666667,7,12,12,19
152,Henderson Elementary,3922.9532,0.0467104221380974,25.1479,448.1235,1443.8688,1188.25,59954.25,0.00436385527107486,0.103874805337979,0.169844162300993,0.713566503928724,1,40,1215,58320,0.020979020979021,0.024390243902439,0.0217391304347826,0.0177304964539007,3,7,3,5
153,Hexter Elementary,7432.3099,0.0266955499258716,54.1041,912.9667,3185.4905,1819.36363636364,119180.818181818,0.00284552182088102,0.0459852595758958,0.675354199103027,0.220501556319658,3,719,1122,53856,0.0570175438596491,0.0589569160997732,0.0697674418604651,0.08,13,26,15,32
154,Smith Elementary,5470.3161,0.17255096099474,342.5462,642.7715,1864.7393,1297.11111111111,61689.3333333333,0.0101872175174667,0.0984460843131168,0.207144117320752,0.674286719920993,8,1870,1100,52800,0.0946372239747634,0.0946372239747634,0.0917721518987342,0.0913539967373573,30,60,29,56
155,Tatum Jr Elementary,7106.7252,0.199230357183362,760.6152,1221.8248,2094.9212,1309,55778.3333333333,0.0125874854426621,0.38690053753591,0.0560866205998791,0.544421303922093,7,680,1185,56880,0.124293785310734,0.0985074626865672,0.111111111111111,0.117088607594937,22,33,17,37
156,Hawthorne Elementary,2898.8289,0.255025607064977,340.0727,251.6856,842.7985,1146,59631.5,0,0.118655157605197,0.0603644457939549,0.813565471214945,2,104,,,0.041025641025641,0.0402298850574713,0.0348837209302326,0.0451807228915663,8,14,6,15
157,Hogg Elementary,3177.0021,0.0831266998532988,62.3521,1287.6042,1717.8702,1535,67408,0.0178714707176303,0.166702439384601,0.405230515900509,0.360786037881435,45,4167,1538.22222222222,73834.6666666667,0.0942028985507246,0.105839416058394,0.0833333333333333,0.0833333333333333,13,29,12,22
158,Hooe Elementary,3629.1404,0.1492468574652,197.5056,326.4088,1169.1829,1211.66666666667,68728.6666666667,0.00395063249688549,0.0450993849673052,0.197789041173497,0.741738980393263,2,10,,,0.0328947368421053,0.0442176870748299,0.106666666666667,0.102990033222591,5,13,16,31
159,Hotchkiss Elementary,9550.4921,0.217301410049855,772.1004,3352.5879,4224.4085,1747.25,109838.615384615,0.0720522977030681,0.18260522931588,0.26543104517096,0.446211478464026,9,3104,1174.28571428571,56365.7142857143,0.149484536082474,0.153225806451613,0.177339901477833,0.150537634408602,29,57,36,56
161,Mendez Elementary,5069.8049,0.330383186934866,758.6225,633.2006,1412.3499,1143.5,46752.25,0,0.275329293243612,0.0326275277378031,0.674642371346479,2,376,1153,55344,0.0862068965517242,0.0903954802259887,0.0824175824175824,0.0728291316526611,15,32,15,26
